1621846918429,0,192.168.2.244,284,-0.0,1,{'firefox.settings.services.mozilla.com': 1}
1621846918429,0,192.168.2.244,304,1.0,2,{'firefox.settings.services.mozilla.com': 1, 'settings.services.mozilla.com': 1}
1621846918431,0,192.168.2.244,320,1.0,2,{'content-signature-2.cdn.mozilla.net': 1, 'd2nxq2uap88usk.cloudfront.net': 1}
1621846918431,0,192.168.2.244,480,1.0,2,{'content-signature-2.cdn.mozilla.net': 1, 'd2nxq2uap88usk.cloudfront.net': 1}
1621846950213,0,192.168.2.244,252,-0.0,1,{'connectivity-check.ubuntu.com': 1}
1621847150681,0,192.168.2.244,332,1.0,2,{'shavar.services.mozilla.com': 1, 'shavar.prod.mozaws.net': 1}
1621847161231,0,192.168.2.244,319,1.0,2,{'normandy.cdn.mozilla.net': 1, 'services.mozilla.com': 1}
1621847161232,0,192.168.2.244,375,1.0,2,{'classify-client.services.mozilla.com': 1, 'normandy.prod.cloudops.mozgcp.net': 1}
1621847161233,0,192.168.2.244,428,-0.0,1,{'d2nxq2uap88usk.cloudfront.net': 1}
1621847190311,0,192.168.2.244,418,1.584962500721156,3,{'incoming.telemetry.mozilla.org': 1, 'telemetry-incoming.r53-2.services.mozilla.com': 1, 'us-west-2.elb.amazonaws.com': 1}
1621847190311,0,192.168.2.244,468,1.584962500721156,3,{'incoming.telemetry.mozilla.org': 1, 'telemetry-incoming.r53-2.services.mozilla.com': 1, 'pipeline-incoming-prod-elb-149169523.us-west-2.elb.amazonaws.com': 1}
1621847400653,0,192.168.2.244,320,1.0,2,{'services.addons.mozilla.org': 1, 'prod.mozaws.net': 1}
1621847400654,0,192.168.2.244,279,1.0,2,{'services.prod.mozaws.net': 1, 'prod.mozaws.net': 1}
1621847403121,0,192.168.2.244,311,1.0,2,{'prod.balrog.prod.cloudops.mozgcp.net': 1, 'balrog.prod.cloudops.mozgcp.net': 1}
1621847403121,0,192.168.2.244,370,1.584962500721156,3,{'aus5.mozilla.org': 1, 'balrog-aus5.r53-2.services.mozilla.com': 1, 'balrog.prod.cloudops.mozgcp.net': 1}
1621849649185,0,192.168.2.244,252,-0.0,1,{'connectivity-check.ubuntu.com': 1}
1621849649185,0,192.168.2.244,265,1.0,2,{'connectivity-check.ubuntu.com': 1, 'ubuntu.com': 1}
1621849929021,2,192.168.2.244,251,1.0,2,{'sgcp-hlb.doubleverify.com': 1, 'sgcp-hlb.dvgtm.akadns.net': 1}
1621849929021,2,192.168.2.244,298,1.0,2,{'sgcp-hlb.doubleverify.com': 1, 'akadns.net': 1}
1621849929024,0,192.168.2.244,262,1.0,2,{'sgcp-hlb.dvgtm.akadns.net': 1, 'akadns.net': 1}
1621850248900,0,192.168.2.244,252,-0.0,1,{'connectivity-check.ubuntu.com': 1}
1621850549374,0,192.168.2.244,252,-0.0,1,{'connectivity-check.ubuntu.com': 1}
1621850719025,0,192.168.2.244,216,-0.0,1,{'safebrowsing.googleapis.com': 1}
1621850848676,0,192.168.2.244,265,1.0,2,{'connectivity-check.ubuntu.com': 1, 'ubuntu.com': 1}
1621853977497,0,192.168.2.244,325,1.0,2,{'prod.data-ingestion.prod.dataops.mozgcp.net': 1, 'data-ingestion.prod.dataops.mozgcp.net': 1}
1621853979678,0,192.168.2.244,284,-0.0,1,{'firefox.settings.services.mozilla.com': 1}
