[2, 2, 1.0, 214.0]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 102.33333333333333]
[1, 1, -0.0, 168.0]
[1, 1, -0.0, 180.0]
[17, 17, 4.08746284125034, 181.05882352941177]
[5, 5, 2.321928094887362, 156.4]
[3, 3, 1.584962500721156, 100.0]
[8, 8, 3.0, 100.125]
[2, 2, 1.0, 128.5]
[2, 2, 1.0, 128.5]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[4, 4, 2.0, 76.25]
[4, 4, 2.0, 76.25]
[4, 4, 2.0, 89.0]
[6, 6, 2.584962500721156, 63.166666666666664]
[5, 5, 2.321928094887362, 77.4]
[23, 30, 4.306890595608519, 86.56666666666666]
[49, 194, 5.156800874735466, 90.23711340206185]
[70, 206, 5.443769616949583, 88.99029126213593]
[15, 23, 3.7622673906514947, 89.91304347826087]
[8, 17, 2.9109922530150456, 96.3529411764706]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 85.66666666666667]
[3, 3, 1.584962500721156, 85.66666666666667]
[1, 1, -0.0, 214.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 97.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[4, 4, 2.0, 128.5]
[24, 32, 4.452819531114783, 112.71875]
[9, 14, 2.9852281360342525, 100.0]
[5, 5, 2.321928094887362, 136.8]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 97.33333333333333]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 100.0]
[5, 5, 2.321928094887362, 57.4]
[4, 4, 2.0, 74.0]
[4, 4, 2.0, 76.0]
[2, 2, 1.0, 103.0]
[3, 3, 1.584962500721156, 75.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[1, 1, -0.0, 200.0]
[4, 4, 2.0, 89.25]
[2, 2, 1.0, 105.5]
[4, 4, 2.0, 67.0]
[2, 2, 1.0, 124.5]
[4, 4, 2.0, 89.0]
[1, 1, -0.0, 1664.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 91.0]
[3, 3, 1.584962500721156, 102.33333333333333]
[3, 3, 1.584962500721156, 102.33333333333333]
[3, 3, 1.584962500721156, 107.0]
[3, 3, 1.584962500721156, 107.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[2, 2, 1.0, 274.5]
[3, 3, 1.584962500721156, 97.66666666666667]
[2, 2, 1.0, 113.5]
[3, 3, 1.584962500721156, 85.33333333333333]
