[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[4, 4, 2.0, 90.0]
[3, 3, 1.584962500721156, 100.0]
[4, 4, 2.0, 91.0]
[5, 5, 2.321928094887362, 77.4]
[4, 4, 2.0, 76.75]
[3, 3, 1.584962500721156, 83.66666666666667]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 81.33333333333333]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 99.33333333333333]
[4, 4, 2.0, 71.0]
[6, 6, 2.584962500721156, 75.16666666666667]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[2, 2, 1.0, 124.5]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[2, 2, 1.0, 124.5]
[1, 1, -0.0, 182.0]
[4, 4, 2.0, 76.25]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 91.0]
[5, 5, 2.321928094887362, 71.6]
[3, 3, 1.584962500721156, 86.66666666666667]
[4, 4, 2.0, 90.0]
[4, 4, 2.0, 90.0]
[5, 5, 2.321928094887362, 77.4]
[5, 5, 2.321928094887362, 77.4]
[4, 4, 2.0, 76.75]
[4, 4, 2.0, 76.75]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[4, 4, 2.0, 84.5]
[2, 2, 1.0, 121.5]
[4, 4, 2.0, 76.75]
[2, 2, 1.0, 116.5]
[4, 4, 2.0, 76.75]
[3, 3, 1.584962500721156, 102.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 80.5]
[7, 7, 2.807354922057604, 57.857142857142854]
[1, 1, -0.0, 180.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 86.0]
[1, 1, -0.0, 178.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 91.0]
[1, 1, -0.0, 214.0]
[3, 3, 1.584962500721156, 106.0]
[2, 2, 1.0, 121.5]
[4, 4, 2.0, 91.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 92.33333333333333]
[3, 3, 1.584962500721156, 79.0]
[3, 3, 1.584962500721156, 99.33333333333333]
[3, 3, 1.584962500721156, 104.33333333333333]
[5, 5, 2.321928094887362, 70.6]
[4, 4, 2.0, 79.5]
[2, 2, 1.0, 115.5]
[2, 2, 1.0, 112.5]
[3, 3, 1.584962500721156, 83.0]
[2, 2, 1.0, 129.0]
[3, 3, 1.584962500721156, 85.33333333333333]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 86.66666666666667]
[3, 3, 1.584962500721156, 83.33333333333333]
[5, 5, 2.321928094887362, 88.2]
[6, 6, 2.584962500721156, 70.5]
[5, 5, 2.321928094887362, 67.4]
[2, 2, 1.0, 135.0]
[3, 3, 1.584962500721156, 87.66666666666667]
[4, 4, 2.0, 90.0]
[4, 4, 2.0, 76.25]
