[13, 13, 3.700439718141092, 451.7692307692308]
[10, 10, 3.3219280948873613, 158.4]
[8, 8, 3.0, 60.0]
[3, 3, 1.584962500721156, 99.33333333333333]
[2, 2, 1.0, 129.0]
[2, 2, 1.0, 133.0]
[2, 2, 1.0, 139.0]
[3, 3, 1.584962500721156, 92.66666666666667]
[3, 3, 1.584962500721156, 96.66666666666667]
[3, 3, 1.584962500721156, 92.66666666666667]
[4, 4, 2.0, 85.25]
[2, 2, 1.0, 133.0]
[5, 5, 2.321928094887362, 123.6]
[15, 28, 3.74986776225629, 97.75]
[16, 28, 3.553090083530327, 104.14285714285714]
[24, 44, 4.453416561671605, 85.4090909090909]
[14, 29, 3.702471512219747, 78.3103448275862]
[1, 1, -0.0, 216.0]
[2, 2, 1.0, 121.5]
[3, 3, 1.584962500721156, 103.66666666666667]
[1, 1, -0.0, 284.0]
[2, 2, 1.0, 152.0]
[1, 1, -0.0, 268.0]
[1, 1, -0.0, 252.0]
[2, 2, 1.0, 132.5]
[3, 3, 1.584962500721156, 139.33333333333334]
[2, 2, 1.0, 176.0]
[2, 2, 1.0, 132.5]
[2, 2, 1.0, 139.5]
[2, 2, 1.0, 152.0]
[1, 1, -0.0, 252.0]
[2, 2, 1.0, 124.5]
[1, 1, -0.0, 228.0]
[2, 2, 1.0, 148.0]
[2, 2, 1.0, 133.5]
[1, 1, -0.0, 238.0]
[2, 2, 1.0, 129.0]
[3, 3, 1.584962500721156, 156.0]
[3, 3, 1.584962500721156, 139.33333333333334]
[2, 2, 1.0, 176.0]
[2, 2, 1.0, 121.5]
[4, 4, 2.0, 85.5]
[4, 4, 2.0, 74.25]
[1, 1, -0.0, 252.0]
[2, 2, 1.0, 132.5]
[1, 1, -0.0, 216.0]
[1, 1, -0.0, 252.0]
[2, 2, 1.0, 132.5]
[1, 1, -0.0, 216.0]
[1, 1, -0.0, 228.0]
[1, 1, -0.0, 252.0]
[3, 3, 1.584962500721156, 99.66666666666667]
[1, 1, -0.0, 252.0]
[1, 1, -0.0, 252.0]
[1, 1, -0.0, 216.0]
[2, 2, 1.0, 132.5]
[1, 1, -0.0, 625.0]
[3, 3, 1.584962500721156, 103.66666666666667]
[2, 2, 1.0, 132.5]
[2, 2, 1.0, 119.5]
[2, 2, 1.0, 152.0]
[1, 1, -0.0, 252.0]
[2, 2, 1.0, 132.5]
[1, 1, -0.0, 284.0]
[1, 1, -0.0, 216.0]
[1, 1, -0.0, 252.0]
[1, 1, -0.0, 285.0]
[3, 3, 1.584962500721156, 110.66666666666667]
[2, 2, 1.0, 119.5]
[2, 2, 1.0, 159.0]
[2, 2, 1.0, 166.0]
[2, 2, 1.0, 137.5]
[1, 1, -0.0, 216.0]
[1, 1, -0.0, 228.0]
[1, 1, -0.0, 241.0]
[1, 1, -0.0, 210.0]
[2, 2, 1.0, 119.5]
[1, 1, -0.0, 504.0]
[1, 1, -0.0, 274.0]
[1, 1, -0.0, 300.0]
[2, 2, 1.0, 271.0]
[2, 2, 1.0, 255.0]
[2, 2, 1.0, 284.0]
[2, 2, 1.0, 260.0]
[2, 2, 1.0, 250.0]
[2, 2, 1.0, 256.0]
[1, 1, -0.0, 208.0]
[2, 2, 1.0, 128.0]
[2, 2, 1.0, 120.0]
[2, 2, 1.0, 134.0]
[2, 2, 1.0, 124.5]
[2, 2, 1.0, 113.0]
[2, 2, 1.0, 222.5]
[2, 2, 1.0, 142.5]
[2, 2, 1.0, 226.0]
